TEAM,Season,W,Perc_3PA,Perc_2PA,Perc_AST,Perc_STL,PFminusPFD,OPP_Perc_3PA,OPP_Perc_2PA,OPP_Perc_AST,OPP_Perc_STL,L1_N_Awards_Won,L1_Coach_RS_W_Perc_Overall,L1_Coach_P_W_Perc,AVG_PLAYER_AGE,Coach,Coach_N_Seasons_Overall,Coach_Perc_Seasons_TEAM
San Antonio Spurs,2012,58,0.2642696629213483,0.7357303370786517,0.6411214953271028,0.5692055692055692,-138,0.21135057471264368,0.7886494252873564,0.570315037349789,0.5597014925373134,1.0,0.68,0.6051282051282051,28.466666666666665,Gregg Popovich,17,1.0
San Antonio Spurs,2013,62,0.25672121566335476,0.7432787843366452,0.6205652435357787,0.5312225153913809,-90,0.21502293577981652,0.7849770642201835,0.5390826873385013,0.5322033898305085,2.0,0.681,0.6157407407407407,28.8,Gregg Popovich,18,1.0
San Antonio Spurs,2014,55,0.26947767726874816,0.7305223227312518,0.6234413965087282,0.5629820051413882,-49,0.22591458970995482,0.7740854102900452,0.5581471747700394,0.5654450261780105,1.0,0.686,0.6234309623430963,29.466666666666665,Gregg Popovich,19,1.0
San Antonio Spurs,2015,67,0.22333382374577018,0.7766661762542298,0.6111280024323502,0.557660626029654,-164,0.24355343568341034,0.7564465643165896,0.5829918032786885,0.5527544351073763,1.0,0.685,0.6178861788617886,31.38888888888889,Gregg Popovich,20,1.0
San Antonio Spurs,2016,61,0.28074009324009325,0.7192599067599068,0.606455617628802,0.5532094594594594,-125,0.2839596432226934,0.7160403567773066,0.5794854881266491,0.5576748410535877,2.0,0.692,0.6171875,29.0,Gregg Popovich,21,1.0
San Antonio Spurs,2017,47,0.28246892413201885,0.7175310758679811,0.5833853841349157,0.5437229437229437,-211,0.3116770366083056,0.6883229633916944,0.5704247844139253,0.5769944341372912,1.0,0.694,0.6102941176470589,28.352941176470587,Gregg Popovich,22,1.0
San Antonio Spurs,2018,48,0.28573399558498896,0.7142660044150111,0.5804498269896193,0.5015015015015015,-124,0.3641555615991297,0.6358444384008702,0.5948883666274971,0.59375,1.0,0.689,0.6028880866425993,27.333333333333332,Gregg Popovich,23,1.0
San Antonio Spurs,2019,32,0.31826771653543307,0.6817322834645669,0.5846410684474124,0.5528281750266809,-47,0.38940955951265227,0.6105904404873477,0.6075233022636485,0.5430167597765363,0.0,0.684,0.5985915492957746,26.11764705882353,Gregg Popovich,24,1.0
San Antonio Spurs,2020,33,0.31389996931574105,0.686100030684259,0.5836098208360982,0.5321390937829295,-45,0.36327098469624364,0.6367290153037564,0.5839607201309329,0.5529841656516443,0.0,0.675,0.5985915492957746,25.235294117647058,Gregg Popovich,25,1.0
San Antonio Spurs,2021,34,0.3454808577818708,0.6545191422181292,0.6455160744500846,0.5534924845269673,-70,0.36869565217391304,0.6313043478260869,0.565766800689259,0.576222435282838,0.0,0.667,0.5985915492957746,24.38888888888889,Gregg Popovich,26,1.0
San Antonio Spurs,2022,22,0.34768866060845516,0.6523113393915448,0.6317577129917917,0.5039647577092511,114,0.35536193029490615,0.6446380697050939,0.5814814814814815,0.5307262569832403,0.0,0.657,0.5985915492957746,24.19047619047619,Gregg Popovich,27,1.0
Toronto Raptors,1996,30,0.2448733413751508,0.7551266586248492,0.5916465308940283,0.5403587443946188,1876,0.22331768388106416,0.7766823161189358,0.6620666442275328,0.5011135857461024,,,,27.65,Darrell Walker,1,1.0
Toronto Raptors,1997,16,0.15940114487010126,0.8405988551298987,0.5888701517706577,0.5613138686131387,1842,0.15147963668326986,0.8485203633167302,0.6783858147355549,0.537563822027717,0.0,0.366,,25.894736842105264,Darrell Walker,2,1.0
Toronto Raptors,1998,23,0.16802030456852793,0.8319796954314721,0.6240963855421687,0.5679172056921087,1128,0.17795071335927368,0.8220492866407263,0.6463990554899646,0.55819774718398,0.0,0.313,,27.466666666666665,Butch Carter,2,1.0
Toronto Raptors,1999,45,0.17015402499273466,0.8298459750072653,0.6533557046979865,0.5328,1826,0.15434618291761149,0.8456538170823885,0.5962691538974018,0.48988566402814426,0.0,0.337,,29.0,Butch Carter,3,1.0
