,,Player,Team,Position
2004-05,THIRD TEAM,Tracy McGrady, Houston Rockets,F
2004-05,THIRD TEAM,Ben Wallace, Detroit Pistons,C
2004-05,THIRD TEAM,Gilbert Arenas, Washington Wizards,G
2004-05,THIRD TEAM,Kobe Bryant, Los Angeles Lakers,G
2003-04,FIRST TEAM,Tim Duncan, San Antonio Spurs,F
2003-04,FIRST TEAM,Kevin Garnett, Minnesota Timberwolves,F
2003-04,FIRST TEAM,Shaquille O’Neal, Los Angeles Lakers,C
2003-04,FIRST TEAM,Kobe Bryant, Los Angeles Lakers,G
2003-04,FIRST TEAM,Jason Kidd, New Jersey Nets,G
2003-04,SECOND TEAM,Tracy McGrady, Orlando Magic,F
2003-04,SECOND TEAM,Peja Stojakovic, Sacramento Kings,F
2003-04,SECOND TEAM,Jermaine O’Neal, Indiana Pacers,F
2003-04,SECOND TEAM,Ben Wallace, Detroit Pistons,C
2003-04,SECOND TEAM,Sam Cassell, Minnesota Timberwolves,G
2003-04,THIRD TEAM,Ron Artest, Indiana Pacers,F
2003-04,THIRD TEAM,Dirk Nowitzki, Dallas Mavericks,F
2003-04,THIRD TEAM,Yao Ming, Houston Rockets,C
2003-04,THIRD TEAM,Baron Davis, New Orleans Hornets,G
2003-04,THIRD TEAM,Michael Redd, Milwaukee Bucks,G
2002-03,FIRST TEAM,Tim Duncan, San Antonio Spurs,F
2002-03,FIRST TEAM,Kevin Garnett, Minnesota Timberwolves,F
2002-03,FIRST TEAM,Shaquille O’Neal, Los Angeles Lakers,C
2002-03,FIRST TEAM,Kobe Bryant, Los Angeles Lakers,G
2002-03,FIRST TEAM,Tracy McGrady, Orlando Magic,G
2002-03,SECOND TEAM,Dirk Nowitzki, Dallas Mavericks,F
2002-03,SECOND TEAM,Chris Webber, Sacramento Kings,F
2002-03,SECOND TEAM,Ben Wallace, Detroit Pistons,C
2002-03,SECOND TEAM,Allen Iverson, Philadelphia 76ers,G
2002-03,SECOND TEAM,Jason Kidd, New Jersey Nets,G
2002-03,THIRD TEAM,Jamal Mashburn, New Orleans Hornets,F
2002-03,THIRD TEAM,Paul Pierce, Boston Celtics,F
2002-03,THIRD TEAM,Jermaine O’Neal, Indiana Pacers,C
2002-03,THIRD TEAM,Stephon Marbury, Phoenix Suns,G
2002-03,THIRD TEAM,Steve Nash, Dallas Mavericks,G
2001-02,FIRST TEAM,Tim Duncan, San Antonio Spurs,F
2001-02,FIRST TEAM,Tracy McGrady, Orlando Magic,F
2001-02,FIRST TEAM,Shaquille O’Neal, Los Angeles Lakers,C
2001-02,FIRST TEAM,Kobe Bryant, Los Angeles Lakers,G
2001-02,FIRST TEAM,Jason Kidd, New Jersey Nets,G
2001-02,SECOND TEAM,Kevin Garnett, Minnesota Timberwolves,F
2001-02,SECOND TEAM,Chris Webber, Sacramento Kings,F
2001-02,SECOND TEAM,Dirk Nowitzki, Dallas Mavericks,C
2001-02,SECOND TEAM,Allen Iverson, Philadelphia 76ers,G
2001-02,SECOND TEAM,Gary Payton, Seattle SuperSonics,G
2001-02,THIRD TEAM,Jermaine O’Neal, Indiana Pacers,F
2001-02,THIRD TEAM,Ben Wallace, Detroit Pistons,F
2001-02,THIRD TEAM,Dikembe Mutombo, Philadelphia 76ers,C
2001-02,THIRD TEAM,Steve Nash, Dallas Mavericks,G
2001-02,THIRD TEAM,Paul Pierce, Boston Celtics,G
2000-01,FIRST TEAM,Tim Duncan, San Antonio Spurs,F
2000-01,FIRST TEAM,Chris Webber, Sacramento Kings,F
2000-01,FIRST TEAM,Shaquille O’Neal, Los Angeles Lakers,C
2000-01,FIRST TEAM,Allen Iverson, Philadelphia 76ers,G
2000-01,FIRST TEAM,Jason Kidd, Phoenix Suns,G
2000-01,SECOND TEAM,Kevin Garnett, Minnesota Timberwolves,F
2000-01,SECOND TEAM,Vince Carter, Toronto Raptors,F
2000-01,SECOND TEAM,Dikembe Mutombo, Atlanta Hawks/Philadelphia 76ers,C
2000-01,SECOND TEAM,Kobe Bryant, Los Angeles Lakers,G
2000-01,SECOND TEAM,Tracy McGrady, Orlando Magic,G
2000-01,THIRD TEAM,Karl Malone, Utah Jazz,F
2000-01,THIRD TEAM,Dirk Nowitzki, Dallas Mavericks,F
2000-01,THIRD TEAM,David Robinson, San Antonio Spurs,C
2000-01,THIRD TEAM,Ray Allen, Milwaukee Bucks,G
2000-01,THIRD TEAM,Gary Payton, Seattle SuperSonic,G
1999-00,FIRST TEAM,Tim Duncan, San Antonio Spurs,F
1999-00,FIRST TEAM,Kevin Garnett, Minnesota Timberwolves,F
1999-00,FIRST TEAM,Shaquille O’Neal, Los Angeles Lakers,C
1999-00,FIRST TEAM,Gary Payton, Seattle SuperSonics,G
1999-00,FIRST TEAM,Jason Kidd, Phoenix Suns,G
1999-00,SECOND TEAM,Grant Hill, Detroit Pistons,F
1999-00,SECOND TEAM,Karl Malone, Utah Jazz,F
1999-00,SECOND TEAM,Alonzo Mourning, Miami Heat,C
1999-00,SECOND TEAM,Kobe Bryant, Los Angeles Lakers,G
1999-00,SECOND TEAM,Allen Iverson, Philadelphia 76ers,G
1999-00,THIRD TEAM,Vince Carter, Toronto Raptors,F
1999-00,THIRD TEAM,Chris Webber, Sacramento Kings,F
1999-00,THIRD TEAM,David Robinson, San Antonio Spurs,C
1999-00,THIRD TEAM,Eddie Jones, Charlotte Hornets,G
1999-00,THIRD TEAM,Stephon Marbury, New Jersey Nets,G
1998-99,FIRST TEAM,Tim Duncan, San Antonio Spurs,F
1998-99,FIRST TEAM,Karl Malone, Utah Jazz,F
1998-99,FIRST TEAM,Alonzo Mourning, MIami Heat,C
1998-99,FIRST TEAM,Allen Iverson, Philadelphia 76ers,G
1998-99,FIRST TEAM,Jason Kidd, Phoenix Suns,G
1998-99,SECOND TEAM,Grant Hill, Detroit Pistons,F
1998-99,SECOND TEAM,Chris Webber, Sacramento Kings,F
1998-99,SECOND TEAM,Shaquille O’Neal, Los Angeles Lakers,C
1998-99,SECOND TEAM,Tim Hardaway, Miami Heat,G
1998-99,THIRD TEAM,Kevin Garnett, Minnesota Timberwolves,F
1998-99,THIRD TEAM,Antonio McDyess, Denver Nuggets,F
1998-99,THIRD TEAM,Hakeem Olajuwon, Houston Rockets,C
1998-99,THIRD TEAM,Kobe Bryant, Los Angeles Lakers,G
1998-99,THIRD TEAM,John Stockton, Utah Jazz,G
1997-98,FIRST TEAM,Tim Duncan, San Antonio Spurs,F
1997-98,FIRST TEAM,Karl Malone, Utah Jazz,F
1997-98,FIRST TEAM,Shaquille O’Neal, Los Angeles Lakers,C
1997-98,FIRST TEAM,Michael Jordan, Chicago Bulls,G
1997-98,FIRST TEAM,Gary Payton, Seattle SuperSonics,G
1997-98,SECOND TEAM,Grant Hill, Detroit Pistons,F
1997-98,SECOND TEAM,Vin Baker, Seattle SuperSonics,F
1997-98,SECOND TEAM,David Robinson, San Antonio Spurs,C
1997-98,SECOND TEAM,Tim Hardaway, Miami Heat,G
