TEAM,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",Season
Houston Rockets,82,53,29,48.4,18.0,13.1,12.0,42.1,16.3,13.7,13.8,51.8,2018
Portland Trail Blazers,82,53,29,48.4,15.0,15.0,11.0,49.3,15.3,13.7,14.1,47.8,2018
Philadelphia 76ers,82,51,31,48.3,15.3,14.1,15.0,49.4,17.3,12.3,14.7,51.2,2018
Utah Jazz,82,50,32,48.2,16.5,13.3,10.6,49.8,16.9,11.2,11.4,47.7,2018
Boston Celtics,82,49,33,48.2,18.1,12.5,16.2,44.8,14.8,13.5,13.2,45.9,2018
Oklahoma City Thunder,82,49,33,48.4,19.2,15.5,18.2,51.8,16.0,12.5,12.3,48.4,2018
Indiana Pacers,82,48,34,48.1,19.1,13.3,14.6,48.9,14.9,13.3,14.0,44.8,2018
LA Clippers,82,48,34,48.4,15.5,13.1,14.3,51.2,17.7,13.8,14.8,51.1,2018
San Antonio Spurs,82,48,34,48.3,14.1,11.5,10.4,43.2,15.0,12.6,14.1,46.6,2018
Brooklyn Nets,82,42,40,48.7,15.4,13.8,11.6,48.8,17.3,14.4,11.8,51.2,2018
Orlando Magic,82,42,40,48.2,15.2,12.4,10.8,44.0,14.7,10.9,12.7,47.2,2018
Detroit Pistons,82,41,41,48.4,15.8,13.3,10.0,44.8,16.0,11.3,11.9,49.9,2018
Charlotte Hornets,82,39,43,48.4,16.1,13.0,11.7,46.8,13.7,13.4,13.3,49.0,2018
Miami Heat,82,39,43,48.1,15.5,14.1,9.9,48.9,17.1,13.7,12.5,42.3,2018
Sacramento Kings,82,39,43,48.1,19.3,13.7,20.9,51.9,16.4,14.4,14.2,51.2,2018
Los Angeles Lakers,82,37,45,48.2,16.8,12.9,19.3,55.6,18.5,14.0,15.9,50.3,2018
Minnesota Timberwolves,82,36,46,48.4,17.5,15.0,11.7,49.5,15.1,14.8,13.6,48.9,2018
Dallas Mavericks,82,33,49,48.2,14.5,12.9,12.3,44.5,15.6,13.0,16.7,47.7,2018
Memphis Grizzlies,82,33,49,48.5,17.2,11.2,12.3,46.3,16.6,11.6,16.3,42.7,2018
New Orleans Pelicans,82,33,49,48.2,16.1,14.4,14.8,58.2,18.0,13.7,15.7,51.6,2018
Washington Wizards,82,32,50,48.6,17.7,12.4,14.1,50.0,17.0,14.1,14.0,52.1,2018
Atlanta Hawks,82,29,53,48.4,17.0,14.1,15.2,51.1,21.1,14.6,16.5,49.3,2018
Chicago Bulls,82,22,60,48.5,15.2,11.0,12.1,50.8,16.6,13.4,13.0,49.1,2018
Cleveland Cavaliers,82,19,63,48.2,14.4,13.5,10.6,44.5,16.8,12.7,14.0,50.0,2018
Phoenix Suns,82,19,63,48.5,18.2,12.1,15.2,49.8,19.5,15.5,15.8,53.0,2018
